,Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0,0102.a4.txt,1564.3,1113.24,566.22,345.49,10,0,5
1,0103.a4.txt,997.08,1189.5,413.99,297.38,11,0,4
2,0104.a4.txt,1487.76,1120.53,649.72,386.06,4,0,4
3,0105.a4.txt,1410.69,1149.03,546.08,728.1,6,0,2
4,0106.a4.txt,1378.3,1065.49,713.59,410.56,7,0,5
5,0107.a4.txt,1531.44,1318.46,659.23,436.11,5,0,2
6,0108.a4.txt,1441.61,1304.74,620.44,392.34,8,0,2
7,0109.a4.txt,1666.67,1138.89,657.41,388.89,3,0,3
8,0110.a4.txt,1793.98,1157.41,613.43,335.65,3,0,1
9,0111.a4.txt,1427.06,1226.22,676.53,391.12,4,0,5
10,0112.a4.txt,1431.51,1184.35,545.83,391.35,1,0,3
11,0115.a4.txt,1878.45,850.83,718.23,519.34,3,0,3
12,0119.a4.txt,1552.46,1359.74,471.09,364.03,2,0,4
13,0120.a4.txt,1263.9,1375.13,546.01,333.67,5,0,4
14,0121.a4.txt,1391.01,1085.67,602.21,458.02,9,0,3
15,0122.a4.txt,1650.14,1041.08,609.07,403.68,7,0,5
16,0127.a4.txt,1224.97,1142.52,530.04,647.82,6,0,5
17,0128.a4.txt,1828.4,1103.17,520.94,388.15,3,0,2
18,0130.a4.txt,1631.34,995.39,479.26,497.7,8,0,3
19,0134.a4.txt,1311.32,1000.0,773.58,349.06,4,0,0
20,0135.a4.txt,1670.28,1008.68,715.84,574.84,8,0,2
21,0136.a4.txt,1349.51,1129.64,629.26,318.42,9,1,3
22,0137.a4.txt,1777.04,993.38,540.84,397.35,5,0,5
23,0139.a4.txt,1402.71,837.1,769.23,305.43,6,0,2
24,0140.a4.txt,1413.16,1046.39,550.16,442.29,7,0,4
25,0149.a4.txt,1384.06,1174.36,689.04,329.54,6,0,5
26,0156.a4.txt,1254.48,1278.38,513.74,454.0,3,0,4
27,0157.a4.txt,1390.94,1074.82,716.54,569.02,7,0,1
28,0158.a4.txt,1391.47,1094.62,677.18,565.86,6,0,1
29,0159.a4.txt,1562.81,1068.25,633.04,464.89,7,0,4
30,0161.a4.txt,1637.25,1088.24,735.29,284.31,4,0,4
31,0165.a4.txt,1867.63,1015.41,407.98,398.91,7,0,2
32,0168.a4.txt,1500.0,1025.32,632.91,474.68,14,0,6
33,0169.a4.txt,1472.19,1275.9,719.74,348.96,3,0,1
34,0171.a4.txt,1421.52,1016.78,612.04,345.51,7,0,3
35,0175.a4.txt,1555.32,1075.16,709.81,407.1,7,0,2
36,0176.a4.txt,1591.13,993.25,588.24,530.38,10,0,3
37,0177.a4.txt,1092.0,1410.15,739.47,515.91,6,0,4
38,0178.a4.txt,1736.23,1068.45,709.52,450.75,4,0,3
39,0179.a4.txt,1750.74,1048.47,909.99,217.61,10,0,2
40,0185.a4.txt,1623.58,1147.88,703.21,341.26,8,0,1
41,0186.a4.txt,1525.97,1244.59,541.13,346.32,2,0,5
42,0187.a4.txt,1382.74,1338.5,530.97,331.86,4,0,6
43,0188.a4.txt,1679.04,1020.41,612.24,463.82,6,0,2
44,0190.a4.txt,1329.18,1048.81,477.67,342.68,4,1,5
45,0192.a4.txt,1775.9,1194.5,443.97,359.41,2,0,2
46,0193.a4.txt,1462.07,1041.38,455.17,255.17,6,0,6
47,0194.a4.txt,1678.46,1183.01,576.34,394.34,7,0,3
48,0195.a4.txt,1600.0,1131.71,380.49,321.95,5,0,4
49,0196.a4.txt,1243.2,1204.35,582.75,419.58,5,0,2
50,0197.a4.txt,1392.93,1216.22,478.17,405.41,6,0,4
51,0198.a4.txt,1128.4,1147.86,428.02,359.92,4,0,5
52,0199.a4.txt,1642.62,954.5,732.52,410.65,8,0,3
53,0200.a4.txt,1476.44,1308.9,554.97,649.21,5,0,1
54,0202.a4.txt,1391.59,1467.1,366.77,194.17,2,0,2
55,0204.a4.txt,1480.19,1083.92,536.13,372.96,7,0,1
56,0205.a4.txt,1405.49,1066.24,533.12,468.5,11,0,3
57,0206.a4.txt,1150.08,1044.05,636.22,424.14,7,0,6
58,0208.a4.txt,1021.28,1397.16,510.64,574.47,7,0,4
59,0213.a4.txt,1732.37,1068.46,508.3,487.55,3,1,3
60,0214.a4.txt,1243.12,1309.13,550.06,605.06,7,0,6
61,0215.a4.txt,1728.3,948.55,586.82,313.5,11,0,4
62,0216.a4.txt,1447.03,1300.6,473.73,292.85,8,0,4
63,0218.a4.txt,1243.63,1172.27,621.81,214.07,5,1,1
64,0219.a4.txt,1228.81,1197.03,773.31,625.0,7,0,1
65,0222.a4.txt,1678.83,1220.02,604.8,427.53,3,0,3
66,0223.a4.txt,1367.27,1377.25,459.08,389.22,5,0,4
67,0224.a4.txt,1319.57,1125.7,669.17,368.98,8,0,5
68,0227.a4.txt,1744.19,1124.03,410.85,325.58,8,0,3
69,0234.a4.txt,1634.41,989.25,752.69,526.88,9,0,2
70,0235.a4.txt,1463.41,1166.49,657.48,296.92,5,0,4
71,0237.a4.txt,1495.23,1208.91,731.71,466.6,3,0,1
72,0238.a4.txt,1480.08,1309.3,474.38,313.09,5,0,1
73,1003.a4.txt,1897.36,1057.54,622.08,295.49,4,0,1
74,1005.a4.txt,1560.64,983.88,483.46,390.16,7,0,4
75,1006.a4.txt,1931.17,841.3,803.06,458.89,8,0,1
