Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b5.txt,1749.62,1072.34,856.85,364.29,8,0,3
0140.b5.txt,1439.49,1012.74,579.62,490.45,11,0,2
0165.b5.txt,1799.43,967.28,697.01,398.29,7,0,1
0200.b5.txt,1713.4,1003.12,716.51,523.36,6,0,3
0300.b5.txt,1917.24,793.1,848.28,406.9,12,1,8
0310.b5.txt,1577.61,1024.17,820.61,515.27,7,0,3
1003.b5.txt,1624.65,1141.46,532.21,420.17,2,0,1
1021.b5.txt,1798.61,1019.63,620.65,291.32,8,0,3
1023.b5.txt,1444.64,1237.42,651.27,645.35,9,2,0
1057.b5.txt,1619.92,973.1,829.99,452.2,10,0,1
1100.b5.txt,1819.48,1088.83,744.99,336.68,15,0,2
1508.b5.txt,1392.97,1150.16,440.89,453.67,10,0,3
1532.b5.txt,1635.94,1259.6,407.07,330.26,7,0,0
1533.b5.txt,1622.84,1207.89,484.8,431.39,7,0,3
2019.b5.txt,1445.4,1139.04,549.88,329.93,5,0,3
2028.b5.txt,1603.88,1398.4,502.28,382.42,8,0,4
2032.b5.txt,1124.56,1230.46,524.46,504.29,10,1,2
2034.b5.txt,1620.2,957.05,753.58,429.54,8,0,2
2066.b5.txt,1361.04,1401.79,668.3,472.7,5,0,3
3018.b5.txt,1612.27,1037.86,711.49,522.19,5,0,4
3020.b5.txt,1794.02,847.18,813.95,282.39,9,0,2
