Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0107.b6.txt,1749.68,1213.28,868.45,408.68,2,0,0
0137.b6.txt,1746.67,1253.33,906.67,533.33,1,0,0
0151.b6.txt,1516.29,1328.32,664.16,563.91,3,0,1
0157.b6.txt,1229.28,1395.03,690.61,635.36,2,0,1
0158.b6.txt,1545.56,1257.21,749.71,645.91,2,0,1
0178.b6.txt,1768.42,1105.26,884.21,557.89,3,0,0
0185.b6.txt,1637.93,1307.47,718.39,416.67,2,0,0
0198.b6.txt,1557.5,1208.15,698.69,451.24,3,0,0
0219.b6.txt,1701.53,1311.02,543.93,348.68,2,0,1
0223.b6.txt,1743.46,1195.52,672.48,622.67,4,0,1
0238.b6.txt,1400.97,1400.97,789.05,402.58,2,0,0
0318.b6.txt,1745.1,980.39,843.14,460.78,4,0,2
