task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-22T15:39:11,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,3.7858457565307617,3.48779934716901e-05,9.204651950331359e-06,42.5,0.0,141.20075225830078,4.473063680860732e-05,0,0.00014858706692211853,0.00019331770373072585,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-22T15:39:13,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,1.3097116947174072,1.2046919243689407e-05,9.203386464627334e-06,42.5,0.0,141.20075225830078,1.5451735754807792e-05,0,5.1320533329703714e-05,6.677226908451155e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-22T15:39:13,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.0011796951293945312,8.575082159509263e-09,7.075841314569809e-06,42.5,0.0,141.20075225830078,1.329365703794423e-08,0,3.423531545648545e-08,4.7528972494477115e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-22T15:39:13,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.004310131072998047,2.691595235946719e-08,7.86551150596549e-06,42.5,0.0,141.20075225830078,3.8597484429677494e-08,0,1.1058913974010937e-07,1.4918662416980042e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-22T15:39:13,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.011318445205688477,1.0072369960877384e-07,8.705788863187063e-06,42.5,0.0,141.20075225830078,1.3447619146770944e-07,0,4.2380346803837774e-07,5.582796595061143e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-22T15:39:46,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,33.28503346443176,0.0003063813767285812,9.20615245298437e-06,42.5,0.0,141.20075225830078,0.0003928879653414091,0,0.0013052872540301678,0.001698175219371577,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-22T15:39:46,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.172210693359375,1.560830577368498e-06,9.15576089504423e-06,42.5,0.0,141.20075225830078,2.0090535283088747e-06,0,6.6421374690889094e-06,8.65119099739773e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-22T15:39:46,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.0169222354888916,1.63719367341701e-07,9.01545002256546e-06,42.5,0.0,141.20075225830078,2.130784922176011e-07,0,6.943662601997715e-07,9.074447524176979e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-22T15:39:47,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.9155561923980713,8.407161717160756e-06,9.200945717777681e-06,42.5,0.0,141.20075225830078,1.0785287784205564e-05,0,3.581295472574776e-05,4.6598242509953217e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-22T15:39:47,assignment 2 logistic regression,15ab3a82-038f-4e09-9fb6-fb48905c2fd8,0.11914920806884766,1.6356954651416868e-06,9.186680796607438e-06,42.5,0.0,141.20075225830078,2.1006173557705596e-06,0,6.965526073054312e-06,9.066143428824655e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
