task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load data,2024-04-29T17:55:54,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.5977349281311035,5.518520321823363e-06,9.198101856284731e-06,42.5,0.0,141.20075225830078,7.081612447897594e-06,0,2.3505803008561087e-05,3.058741545645868e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create data variables,2024-04-29T17:55:54,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.0014986991882324219,1.0707830230496708e-08,7.0054430146768465e-06,42.5,0.0,141.20075225830078,1.6735990842183355e-08,0,4.2614130711627566e-08,5.935012155381346e-08,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
creating train-test split,2024-04-29T17:55:54,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.0035271644592285156,2.8021715709305902e-08,8.158516887852602e-06,42.5,0.0,141.20075225830078,3.9171675841013336e-08,0,1.1614384538915929e-07,1.5531552123017686e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load vectorizer,2024-04-29T17:55:54,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.007879257202148438,6.735610164161081e-08,8.737033138698463e-06,42.5,0.0,141.20075225830078,8.966955873701276e-08,0,2.8366404235384985e-07,3.7333360109086176e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
fit vectorizer,2024-04-29T17:56:08,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,13.88717770576477,0.00012783547280397278,9.205701945073548e-06,42.5,0.0,141.20075225830078,0.0001639362865024143,0,0.0005446153702279162,0.0007085516567303305,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
fit classifier,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,13.261592864990234,0.00012207178231046114,9.2056244903035e-06,42.5,0.0,141.20075225830078,0.00015654642615053394,0,0.000520058914283686,0.0006766053404342201,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
make predictions,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.010918140411376953,8.081488930589435e-08,8.3097304178684e-06,42.5,0.0,141.20075225830078,1.1189977327982206e-07,0,3.3603163769840676e-07,4.47931410978283e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create confusion matrix,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.3940269947052002,4.358929457768334e-06,9.19492565694646e-06,42.5,0.0,141.20075225830078,5.594276554054709e-06,0,1.8565892928859226e-05,2.416016948291388e-05,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
make classification report,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.057259321212768555,5.219123046674295e-07,9.138250909483314e-06,42.5,0.0,141.20075225830078,6.729607780774408e-07,0,2.219834312586601e-06,2.892795090664096e-06,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
create loss curve graph,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.00254058837890625,1.9079906370990385e-08,7.691199193798219e-06,42.5,0.0,141.20075225830078,2.7969313992398572e-08,0,7.778458179928845e-08,1.0575389579174123e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
save neural network model,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.010973930358886719,9.565082907724096e-08,8.848838832811066e-06,42.5,0.0,141.20075225830078,1.2633336914910425e-07,0,4.0382897095693135e-07,5.301623401060898e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
load model,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.005400896072387695,4.5620419336731693e-08,8.565170425502734e-06,42.5,0.0,141.20075225830078,6.165239546033867e-08,0,1.9120718250170352e-07,2.528595779620422e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
get predictions for test sentence,2024-04-29T17:56:21,assignment 2 mlp classifier,621c7fac-9382-44de-991c-98a4f1b7e6f7,0.003076791763305664,2.355218417830155e-08,8.01631261119751e-06,42.5,0.0,141.20075225830078,3.3325619167728655e-08,0,9.721670021453112e-08,1.3054231938220556e-07,Denmark,DNK,zealand,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,11.7549,55.2252,376.53533935546875,machine,N
