task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-19T12:28:59,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,1.255824327468872,1.1575923003368365e-05,9.203431118853351e-06,42.5,0.0,141.20075225830078,1.484755128622055e-05,0,4.9314134373571504e-05,6.416168565979206e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-19T12:28:59,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.4421079158782959,4.057774600919607e-06,9.194165404227655e-06,42.5,0.0,141.20075225830078,5.208310153749253e-06,0,1.728265305901005e-05,2.249096321275929e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-19T12:28:59,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.0016636848449707031,1.0268759534306262e-08,6.757185313740021e-06,42.5,0.0,141.20075225830078,1.6612145635817963e-08,0,4.030434570268524e-08,5.691649133849643e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-19T12:28:59,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.0032804012298583984,2.6628739000082214e-08,8.255527127134366e-06,42.5,0.0,141.20075225830078,3.679047028223536e-08,0,1.1080422093527294e-07,1.4759469121750492e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-19T12:28:59,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.008994102478027344,7.499471071471602e-08,8.723946503482812e-06,42.5,0.0,141.20075225830078,9.966161515977695e-08,0,3.160103838354219e-07,4.1567199899520226e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-19T12:29:11,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,12.398099660873413,0.00011411241787523507,9.20577022230482e-06,42.5,0.0,141.20075225830078,0.00014633672303623625,0,0.0004861523738123878,0.000632489096848624,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-19T12:29:35,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,23.32059335708618,0.0002146681536000649,9.2059904011105e-06,42.5,0.0,141.20075225830078,0.00027528359194596607,0,0.0009145541936411973,0.0011898377855871635,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-19T12:29:35,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.010665416717529297,7.805098247814883e-08,8.351050942884865e-06,42.5,0.0,141.20075225830078,1.070444782575071e-07,0,3.2556746998573666e-07,4.3261194824324375e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-19T12:29:35,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.2546250820159912,2.363253812269234e-06,9.190042210845637e-06,42.5,0.0,141.20075225830078,3.034559388955416e-06,0,1.0064210203154312e-05,1.3098769592109673e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-19T12:29:35,assignment 2 mlp classifier,6af76825-56e7-490e-92d0-3ef3b90083ea,0.03736257553100586,3.398551803121151e-07,9.113177865601729e-06,42.5,0.0,141.20075225830078,4.389721486303794e-07,0,1.444737793349386e-06,1.8837099419798196e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
