task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-19T12:28:15,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,1.5094308853149414,1.3898775304035009e-05,9.202046075955052e-06,42.5,0.0,141.20075225830078,1.7829335729281108e-05,0,5.920718670215592e-05,7.703652243143703e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-19T12:28:16,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.9582679271697998,8.809587800340565e-06,9.200994389603184e-06,42.5,0.0,141.20075225830078,1.1301826437314354e-05,0,3.752693677001844e-05,4.882876320733278e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-19T12:28:16,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.001470804214477539,1.0862229781908255e-08,7.097599910138172e-06,42.5,0.0,141.20075225830078,1.6778210798900234e-08,0,4.342769871072986e-08,6.020590950962671e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-19T12:28:16,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.003718137741088867,3.011065138282303e-08,8.277180858407403e-06,42.5,0.0,141.20075225830078,4.156695471869553e-08,0,1.2532687728708178e-07,1.6689383200579086e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-19T12:28:16,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.008443593978881836,7.403350147632551e-08,8.835368085820402e-06,42.5,0.0,141.20075225830078,9.760691059960234e-08,0,3.1273740912638923e-07,4.1034431972600174e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-19T12:28:28,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,12.400264739990234,0.00011406535514379978,9.205841684214266e-06,42.5,0.0,141.20075225830078,0.0001462756983107991,0,0.0004859525446793669,0.0006322282429901659,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-19T12:28:28,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.08053946495056152,7.378771433256138e-07,9.155748533424043e-06,42.5,0.0,141.20075225830078,9.501488672362425e-07,0,3.1396711248134765e-06,4.089819992049719e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-19T12:28:28,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.005590915679931641,4.7700645244548676e-08,8.563217221014873e-06,42.5,0.0,141.20075225830078,6.443891260358666e-08,0,1.9995070065306503e-07,2.643896132566246e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-19T12:28:28,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.16330814361572266,1.4982658458719867e-06,9.179872108408538e-06,42.5,0.0,141.20075225830078,1.9253960914081866e-06,0,6.379018356551564e-06,8.304414447959777e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-19T12:28:28,assignment 2 logistic regression,7064fb91-9641-4551-b869-b49a9a9a8a0c,0.04265332221984863,3.888190790166991e-07,9.11809175200193e-06,42.5,0.0,141.20075225830078,5.021275745497906e-07,0,1.6529737956943536e-06,2.155101370244117e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
