task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-02T16:45:34,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,1.2814643383026123,1.1794158455618117e-05,9.203475671904517e-06,42.5,0.0,141.20075225830078,1.512765536705653e-05,0,5.024364048822463e-05,6.537129585528116e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-02T16:45:35,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.43071675300598145,3.957620122701275e-06,9.196214754711521e-06,42.5,0.0,141.20075225830078,5.079195896784466e-06,0,1.685664267088213e-05,2.19358385676666e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-02T16:45:35,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.0014069080352783203,1.002191746203159e-08,6.937608268471521e-06,42.5,0.0,141.20075225830078,1.573959986368888e-08,0,3.980872381816904e-08,5.554832368185453e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-02T16:45:35,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.0054395198822021484,3.237361398924956e-08,7.551989913768932e-06,42.5,0.0,141.20075225830078,4.722724358240883e-08,0,1.3220947553235676e-07,1.7943671911476897e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-02T16:45:35,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.0162353515625,1.4592357717890694e-07,8.798594684681264e-06,42.5,0.0,141.20075225830078,1.9339554839664189e-07,0,6.154127588615612e-07,8.088083072581997e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-02T16:45:47,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,12.665144681930542,0.00011658465300526649,9.205784602433754e-06,42.5,0.0,141.20075225830078,0.00014950749244954854,0,0.0004966844230204515,0.0006461919154700001,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-02T16:46:00,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,13.023664951324463,0.00011986678590391174,9.205641781993666e-06,42.5,0.0,141.20075225830078,0.00015371845182445316,0,0.0005106652898416315,0.0006643837416660848,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-02T16:46:00,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.014435291290283203,7.564653579792335e-08,8.298709692762093e-06,42.5,0.0,141.20075225830078,1.0491096311143365e-07,0,3.143738964810072e-07,4.192848595924951e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-02T16:46:01,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.4533271789550781,4.187519292869453e-06,9.19694079189978e-06,42.5,0.0,141.20075225830078,5.373955931928427e-06,0,1.7836141136376698e-05,2.321009706830507e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-02T16:46:01,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.054727792739868164,5.014565165006282e-07,9.143182254015245e-06,42.5,0.0,141.20075225830078,6.46398795975606e-07,0,2.1330163205903613e-06,2.7794151165659673e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create loss curve graph,2024-05-02T16:46:01,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.11827993392944336,1.0819962100343857e-06,9.170995022142416e-06,42.5,0.0,141.20075225830078,1.391302380296909e-06,0,4.60586092954139e-06,5.997163309838299e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save neural network model,2024-05-02T16:46:01,assignment 2 mlp classifier,aa051452-02ad-46c0-aef9-240620a8e2b6,0.01108098030090332,9.678614596228671e-08,8.893257369689201e-06,42.5,0.0,141.20075225830078,1.272396908865987e-07,0,4.092153521925018e-07,5.364550430791547e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
