task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-02T16:44:50,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,1.3034143447875977,1.2015524765600512e-05,9.203486370561506e-06,42.5,0.0,141.20075225830078,1.5411469174755946e-05,0,5.118679023173626e-05,6.65982594064922e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-02T16:44:51,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.440204381942749,4.045652071150389e-06,9.196765581307593e-06,42.5,0.0,141.20075225830078,5.191821853319803e-06,0,1.723195000508895e-05,2.2423771858408743e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-02T16:44:51,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.0013713836669921875,9.77463768405502e-09,6.989055904668038e-06,42.5,0.0,141.20075225830078,1.5266736348468635e-08,0,3.891099361226773e-08,5.417772996073637e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-02T16:44:51,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.0031239986419677734,2.4399732919194663e-08,8.156523263083594e-06,42.5,0.0,141.20075225830078,3.4048987759483564e-08,0,1.0119102664703347e-07,1.3524001440651365e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-02T16:44:51,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.017275333404541016,1.471597692152024e-07,8.869816759475775e-06,42.5,0.0,141.20075225830078,1.9342088037066846e-07,0,6.222392489689792e-07,8.156601293396443e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-02T16:45:03,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,12.363759756088257,0.0001135412695419886,9.20580157736409e-06,42.5,0.0,141.20075225830078,0.0001456043165591028,0,0.00048371908544063446,0.0006293234019997372,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-02T16:45:03,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.0910332202911377,8.353825011415744e-07,9.157897371873033e-06,42.5,0.0,141.20075225830078,1.0753620002004716e-06,0,3.5548993991142263e-06,4.630261399314671e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-02T16:45:03,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.0066912174224853516,5.723956965990296e-08,8.683454715813427e-06,42.5,0.0,141.20075225830078,7.654759618972383e-08,0,2.407132628150059e-07,3.1726085900475685e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-02T16:45:03,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.18449759483337402,1.6933329358642473e-06,9.183344999938138e-06,42.5,0.0,141.20075225830078,2.1752932005458315e-06,0,7.210316527220999e-06,9.385609727766858e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-02T16:45:03,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,0.05323672294616699,4.836188383859868e-07,9.113818825337416e-06,42.5,0.0,141.20075225830078,6.249313553174257e-07,0,2.0556151443997667e-06,2.6805464997172465e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create cross validation graph,2024-05-02T16:45:27,assignment 2 logistic regression,b5cae586-a113-4589-9cac-05563ef18571,23.426738739013672,0.00021566473639390672,9.206165425596493e-06,42.5,0.0,141.20075225830078,0.00027655698524581057,0,0.0009188045440578437,0.0011953615293036541,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
