task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
load packages,2024-05-22T15:41:07,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,3.211916208267212,2.959065651678543e-05,9.205206667042394e-06,42.5,0.0,141.20075225830078,3.794907877842585e-05,0,0.00012606258589353275,0.0001640116646719586,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load data,2024-05-22T15:41:08,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,1.2955095767974854,1.1911405939357925e-05,9.203053947236628e-06,42.5,0.0,141.20075225830078,1.5278298987282644e-05,0,5.0742862644915485e-05,6.602116163219814e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create data variables,2024-05-22T15:41:08,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,0.0014736652374267578,1.0264018873361541e-08,6.979639334730189e-06,42.5,0.0,141.20075225830078,1.6015436914233174e-08,0,4.0874778437681924e-08,5.68902153519151e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
creating train-test split,2024-05-22T15:41:08,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,0.0034334659576416016,2.6633803765034863e-08,8.087914108521632e-06,42.5,0.0,141.20075225830078,3.7080380651685564e-08,0,1.1054238295855738e-07,1.4762276361024972e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
load vectorizer,2024-05-22T15:41:08,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,0.007868289947509766,6.849901906564611e-08,8.800910083109688e-06,42.5,0.0,141.20075225830078,9.058995379341905e-08,0,2.890784776582336e-07,3.7966843145165944e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit vectorizer,2024-05-22T15:41:44,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,36.40208649635315,0.0003351051558587868,9.206159647402008e-06,42.5,0.0,141.20075225830078,0.0004297216632299953,0,0.0014276603932099762,0.0018573820564399715,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
fit classifier,2024-05-22T15:42:46,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,61.4049174785614,0.0005652944220300047,9.206269644960577e-06,42.5,0.0,141.20075225830078,0.0007248971146014003,0,0.002408351353012722,0.003133248467614122,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make predictions,2024-05-22T15:42:46,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,0.014109373092651367,6.168686281181595e-07,9.078080181294306e-06,42.5,0.0,141.20075225830078,7.988860209783618e-07,0,2.6202219844204816e-06,3.4191080053990602e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
create confusion matrix,2024-05-22T15:42:47,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,1.0373296737670898,1.033559989929776e-05,9.202243828013418e-06,42.5,0.0,141.20075225830078,1.325794739855655e-05,0,4.4029018975629344e-05,5.728696637418568e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
make classification report,2024-05-22T15:42:47,assignment 2 mlp classifier,c4658a87-4feb-4127-ab1b-240ad0a83de6,0.1756892204284668,1.6049530160264398e-06,9.169063957758834e-06,42.5,0.0,141.20075225830078,2.064806388484171e-06,0,6.830941353018309e-06,8.89574774150248e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.39,3.12.3,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
